"NBS"|"DESCRIÇÃO"|"AL_IBPT_NACIONAL"|"AL_IBPT_INTERNACIONAL"
"101011000"|"Serviços de construção de edificações residenciais de um e dois pavimentos"|17.39|17.99
"101012000"|"Serviços de construção de edificações residenciais com mais de dois pavimentos"|17.39|17.99
"101021000"|"Serviços de construção de edificações industriais"|17.39|17.99
"101022000"|"Serviços de construção de edificações comerciais"|17.39|17.99
"101029000"|"Outros serviços de construção de edificações não residenciais"|17.92|18.52
"101031000"|"Serviços de construção de autoestradas (exceto autoestradas elevadas), ruas e estradas."|17.37|17.97
"101032000"|"Serviços de construção de estradas férreas"|17.37|17.97
"101033000"|"Serviços de construção de pistas de pouso e decolagem em aeroportos"|17.37|17.97
"101034000"|"Serviços de construção de infraestrutura aeroportuária"|17.37|17.97
"101040000"|"Serviços de construção de pontes, autoestradas elevadas e túneis"|17.39|17.99
"101051100"|"Serviços de construção de guias-corrente, espigões, quebra-mares, canais de acesso, bacias de evolução, balizamento e sinalização, derrocagens e dragagens."|17.37|17.97
"101051900"|"Outros serviços de construção de infraestrutura de proteção e acesso aquaviário"|17.37|17.97
"101052100"|"Serviços de construção de ancoradouros, docas, cais, pontes, dolfins e píeres"|17.37|17.97
"101052900"|"Outros serviços de construção de infraestrutura de acostagem aquaviária"|17.37|17.97
"101053100"|"Serviços de construção de armazéns, inclusive os especiais, silos, pátios e vias de circulação"|17.90|18.50
"101053900"|"Outros serviços de construção de infraestrutura terrestre nos portos"|17.90|18.50
"101061000"|"Serviços de construção de barragens e adutoras"|17.90|18.50
"101062100"|"Serviços de construção de sistemas de irrigação"|17.39|17.99
"101062200"|"Serviços de construção de sistemas de esgotos"|17.90|18.50
"101062300"|"Serviços de construção de sistemas de unidades para tratamento e purificação de água"|17.90|18.50
"101069000"|"Outros serviços de construção de sistemas hídricos"|17.90|18.50
"101071100"|"Serviços de construção de dutos de longo curso para o transporte de petróleo, seus derivados, e gás"|17.39|17.99
"101071200"|"Serviços de construção de dutos de longo curso para o transporte e escoamento de águas e esgotos"|17.39|17.99
"101071900"|"Serviços de construção de outros dutos de longo curso"|17.39|17.99
"101072100"|"Serviços de construção de linhas de comunicação de longo curso"|17.39|17.99
"101072210"|"Serviços de construção de linhas de transmissão de alta tensão em corrente contínua"|17.39|17.99
"101072220"|"Serviços de construção de linhas de transmissão de alta tensão em corrente alternada"|17.39|17.99
"101081000"|"Serviços de construção de dutos locais"|17.39|17.99
"101082110"|"Serviços de construção de linhas locais de transmissão de baixa e média tensão"|17.39|17.99
"101082120"|"Serviços de construção de linhas locais de comunicação"|17.39|17.99
"101082900"|"Outros serviços de construção relacionados"|17.39|17.99
