"NCM"|"EX"|"DESCRIÇÃO"|"AL_IPI"|"CST_IPI_ENTRADA"|"CST_IPI_SAÍDA"|"CST_PIS_COFINS_ENTRADA"|"CST_PIS_COFINS_SAÍDA"|"CÓDIGO_JUSTIFICATIVA_ENQUADRAMENTO_PIS_COFINS"
"01011010"|""|"Animais vivos das espécies cavalar, asinina e muar - Reprodutores de raça pura - Cavalos"|-1|"03"|"53"|""|""|""
"01011090"|""|"Animais vivos das espécies cavalar, asinina e muar - Reprodutores de raça pura - Outros"|-1|"03"|"53"|""|""|""
"01019010"|""|"Animais vivos das espécies cavalar, asinina e muar - Outros - Cavalos"|-1|"03"|"53"|""|""|""
"01019090"|""|"Animais vivos das espécies cavalar, asinina e muar - Outros - Outros"|-1|"03"|"53"|""|""|""
"01021010"|""|"Animais vivos da espécie bovina - Reprodutores de raça pura - Prenhes ou com cria ao pé"|-1|"03"|"53"|""|""|""
"01021090"|""|"Animais vivos da espécie bovina - Reprodutores de raça pura - Outros"|-1|"03"|"53"|""|""|""
"01029011"|""|"Animais vivos da espécie bovina - Outros - Para reprodução - Prenhes ou com cria ao pé"|-1|"03"|"53"|""|""|""
"01029019"|""|"Animais vivos da espécie bovina - Outros - Para reprodução - Outros"|-1|"03"|"53"|""|""|""
"01029090"|""|"Animais vivos da espécie bovina - Outros - Outros"|-1|"03"|"53"|""|""|""
"01031000"|""|"Animais vivos da espécie suína - Reprodutores de raça pura"|-1|"03"|"53"|"72"|"09"|"209"
"01039100"|""|"Animais vivos da espécie suína - Outros - De peso inferior a 50 kg"|-1|"03"|"53"|"72"|"09"|"209"
"01039200"|""|"Animais vivos da espécie suína - Outros - De peso igual ou superior a 50 kg"|-1|"03"|"53"|"72"|"09"|"209"
"01041011"|""|"Animais vivos das espécies ovina e caprina - Ovinos - Reprodutores de raça pura - Prenhes ou com cria ao pé"|-1|"03"|"53"|""|""|""
"01041019"|""|"Animais vivos das espécies ovina e caprina - Ovinos - Reprodutores de raça pura - Outros"|-1|"03"|"53"|""|""|""
"01041090"|""|"Animais vivos das espécies ovina e caprina - Ovinos - Outros"|-1|"03"|"53"|""|""|""
"01042010"|""|"Animais vivos das espécies ovina e caprina - Caprinos - Reprodutores de raça pura"|-1|"03"|"53"|""|""|""
"01042090"|""|"Animais vivos das espécies ovina e caprina - Caprinos - Outros"|-1|"03"|"53"|""|""|""
"01051110"|""|"Galos, galinhas, patos, gansos, perus, peruas e galinhas-d’angola, das espécies domésticas, vivos - De peso não superior a 185 g - Galos e galinhas - De linhas puras ou híbridas, para reprodução"|-1|"03"|"53"|"73"|"06"|"109"
"01051190"|""|"Galos, galinhas, patos, gansos, perus, peruas e galinhas-d’angola, das espécies domésticas, vivos - De peso não superior a 185 g - Galos e galinhas - Outros"|-1|"03"|"53"|"73"|"06"|"109"
"01051200"|""|"Galos, galinhas, patos, gansos, perus, peruas e galinhas-d’angola, das espécies domésticas, vivos - De peso não superior a 185 g - Peruas e perus"|-1|"03"|"53"|"72"|"09"|"209"
"01051900"|""|"Galos, galinhas, patos, gansos, perus, peruas e galinhas-d’angola, das espécies domésticas, vivos - De peso não superior a 185 g - Outros"|-1|"03"|"53"|"72"|"09"|"209"
"01059400"|""|"Galos, galinhas, patos, gansos, perus, peruas e galinhas-d’angola, das espécies domésticas, vivos - Outros - Galos e galinhas"|-1|"03"|"53"|"72"|"09"|"209"
"01059900"|""|"Galos, galinhas, patos, gansos, perus, peruas e galinhas-d’angola, das espécies domésticas, vivos - Outros - Outros"|-1|"03"|"53"|"72"|"09"|"209"
"01061100"|""|"Outros animais vivos - Mamíferos - Primatas"|-1|"03"|"53"|""|""|""
"01061200"|""|"Outros animais vivos - Mamíferos - Baleias, golfinhos e marsuínos (mamíferos da ordem dos cetáceos); peixes-boi e dugongos (mamíferos da ordem dos sirênios)"|-1|"03"|"53"|""|""|""
"01061900"|""|"Outros animais vivos - Mamíferos - Outros"|-1|"03"|"53"|""|""|""
"01062000"|""|"Outros animais vivos - Répteis (incluídas as serpentes e as tartarugas marinhas)"|-1|"03"|"53"|""|""|""
