"CODIGO"|"DESCRIÇÃO"|"AL_IBPT_NACIONAL"|"AL_IBPT_INTERNACIONAL"
"101"|"Análise e desenvolvimento de sistemas"|0|0
"102"|"Programação"|0|0
"103"|"Processamento de dados e congêneres"|0|0
"104"|"Elaboração de programas de computadores, inclusive de jogos eletrônicos"|0|0
"105"|"Licenciamento ou cessão de direito de uso de programas de computação"|0|0
"106"|"Assessoria e consultoria em informática"|0|0
"107"|"Suporte técnico em informática, inclusive instalação, configuração e manutenção de programas de computação e bancos de dados"|0|0
"108"|"Planejamento, confecção, manutenção e atualização de páginas eletrônicas"|0|0
"201"|"Serviços de pesquisas e desenvolvimento de qualquer natureza"|0|0
"302"|"Cessão de direito de uso de marcas e de sinais de propaganda"|0|0
"303"|"Exploração de salões de festas, centro de convenções, escritórios virtuais, stands, quadras esportivas, estádios, ginásios, auditórios, casas de espetáculos, parques de diversões, canchas e congêneres, para realização de eventos ou negócios de qualquer natureza"|0|0
"304"|"Locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de ferrovia, rodovia, postes, cabos, dutos e condutos de qualquer natureza"|0|0
"305"|"Cessão de andaimes, palcos, coberturas e outras estruturas de uso temporário"|0|0
"401"|"Medicina e biomedicina"|0|0
"402"|"Análises clínicas, patologia, eletricidade médica, radioterapia, quimioterapia, ultra-sonografia, ressonância magnética, radiologia, tomografia e congêneres"|0|0
"403"|"Hospitais, clínicas, laboratórios, sanatórios, manicômios, casas de saúde, prontos-socorros, ambulatórios e congêneres"|0|0
"404"|"Instrumentação cirúrgica"|0|0
"405"|"Acupuntura"|0|0
"406"|"Enfermagem, inclusive serviços auxiliares"|0|0
"407"|"Serviços farmacêuticos"|0|0
"408"|"Terapia ocupacional, fisioterapia e fonoaudiologia"|0|0
"409"|"Terapias de qualquer espécie destinadas ao tratamento físico, orgânico e mental"|0|0
"410"|"Nutrição"|0|0
"411"|"Obstetrícia"|0|0
"412"|"Odontologia"|0|0
"413"|"Ortóptica"|0|0
"414"|"Próteses sob encomenda"|0|0
"415"|"Psicanálise"|0|0
"416"|"Psicologia"|0|0
"417"|"Casas de repouso e de recuperação, creches, asilos e congêneres"|0|0
"418"|"Inseminação artificial, fertilização in vitro e congêneres"|0|0
"419"|"Bancos de sangue, leite, pele, olhos, óvulos, sêmen e congêneres"|0|0
"420"|"Coleta de sangue, leite, tecidos, sêmen, órgãos e materiais biológicos de qualquer espécie"|0|0
"421"|"Unidade de atendimento, assistência ou tratamento móvel e congêneres"|0|0
"422"|"Planos de medicina de grupo ou individual e convênios para prestação de assistência médica, hospitalar, odontológica e congêneres"|0|0
"423"|"Outros planos de saúde que se cumpram através de serviços de terceiros contratados, credenciados, cooperados ou apenas pagos pelo operador do plano mediante indicação do beneficiário"|0|0
"501"|"Medicina veterinária e zootecnia"|0|0
"502"|"Hospitais, clínicas, ambulatórios, prontos-socorros e congêneres, na área veterinária"|0|0
"503"|"Laboratórios de análise na área veterinária"|0|0
"504"|"Inseminação artificial, fertilização in vitro e congêneres"|0|0
"505"|"Bancos de sangue e de órgãos e congêneres"|0|0
"506"|"Coleta de sangue, leite, tecidos, sêmen, órgãos e materiais biológicos de qualquer espécie"|0|0
"507"|"Unidade de atendimento, assistência ou tratamento móvel e congêneres"|0|0
"508"|"Guarda, tratamento, amestramento, embelezamento, alojamento e congêneres"|0|0
"509"|"Planos de atendimento e assistência médico-veterinária"|0|0
"601"|"Barbearia, cabeleireiros, manicuros, pedicuros e congêneres"|0|0
"602"|"Esteticistas, tratamento de pele, depilação e congêneres"|0|0
"603"|"Banhos, duchas, sauna, massagens e congêneres"|0|0
"604"|"Ginástica, dança, esportes, natação, artes marciais e demais atividades físicas"|0|0
"605"|"Centros de emagrecimento, spa e congêneres"|0|0
"701"|"Engenharia, agronomia, agrimensura, arquitetura, geologia, urbanismo, paisagismo e congêneres"|0|0
"702"|"Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes"|0|0
"703"|"Elaboração de planos diretores, estudos de viabilidade, estudos organizacionais e outros, relacionados com obras e serviços de engenharia; elaboração de anteprojetos, projetos básicos e projetos executivos para trabalhos de engenharia"|0|0
"704"|"Demolição"|0|0
"705"|"Reparação, conservação e reforma de edifícios, estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS)"|0|0
"706"|"Colocação e instalação de tapetes, carpetes, assoalhos, cortinas, revestimentos de parede, vidros, divisórias, placas de gesso e congêneres, com material fornecido pelo tomador do serviço"|0|0
"707"|"Recuperação, raspagem, polimento e lustração de pisos e congêneres"|0|0
"708"|"Calafetação"|0|0
"709"|"Varrição, coleta, remoção, incineração, tratamento, reciclagem, separação e destinação final de lixo, rejeitos e outros resíduos quaisquer"|0|0
"710"|"Limpeza, manutenção e conservação de vias e logradouros públicos, imóveis, chaminés, piscinas, parques, jardins e congêneres"|0|0
"711"|"Decoração e jardinagem, inclusive corte e poda de árvores"|0|0
"712"|"Controle e tratamento de efluentes de qualquer natureza e de agentes físicos, químicos e biológicos"|0|0
"713"|"Dedetização, desinfecção, desinsetização, imunização, higienização, desratização, pulverização e congêneres"|0|0
"716"|"Florestamento, reflorestamento, semeadura, adubação e congêneres"|0|0
"717"|"Escoramento, contenção de encostas e serviços congêneres"|0|0
"718"|"Limpeza e dragagem de rios, portos, canais, baías, lagos, lagoas, represas, açudes e congêneres"|0|0
"719"|"Acompanhamento e fiscalização da execução de obras de engenharia, arquitetura e urbanismo"|0|0
"720"|"Aerofotogrametria (inclusive interpretação), cartografia, mapeamento, levantamentos topográficos, batimétricos, geográficos, geodésicos, geológicos, geofísicos e congêneres"|0|0
"721"|"Pesquisa, perfuração, cimentação, mergulho, perfilagem, concretação, testemunhagem, pescaria, estimulação e outros serviços relacionados com a exploração e explotação de petróleo, gás natural e de outros recursos minerais"|0|0
"722"|"Nucleação e bombardeamento de nuvens e congêneres"|0|0
"801"|"Ensino regular pré-escolar, fundamental, médio e superior"|0|0
