SEÇÃO XVIII
INSTRUMENTOS E APARELHOS DE ÓPTICA, DE FOTOGRAFIA, DE CINEMATOGRAFIA,
DE MEDIDA, DE CONTROLE OU DE PRECISÃO; INSTRUMENTOS E
APARELHOS MÉDICO-CIRÚRGICOS; APARELHOS DE RELOJOARIA;
INSTRUMENTOS MUSICAIS; SUAS PARTES E ACESSÓRIOS
Capítulo 90
Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida,
de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos;
suas partes e acessórios
Notas.

1.- Este Capítulo não compreende:

a) os artefatos para usos técnicos, de borracha vulcanizada não endurecida (posição 40.16), de couro natural ou reconstituído (posição 42.05), ou de matérias têxteis (posição 59.11);
b) as cintas e fundas de matérias têxteis, cujo efeito pretendido sobre o órgão a sustentar ou manter deriva unicamente da elasticidade (por exemplo, cintas de gravidez, fundas torácicas, fundas abdominais, fundas para articulações ou para os músculos) (Seção XI);
c) os produtos refratários da posição 69.03; os artefatos para usos químicos e outros usos técnicos, da posição 69.09;
d) os espelhos de vidro, não trabalhados opticamente, da posição 70.09, e os espelhos de metais comuns ou de metais preciosos, que não tenham as características de elementos de óptica (posição 83.06 ou Capítulo 71);
e) os artigos de vidro das posições 70.07, 70.08, 70.11, 70.14, 70.15 ou 70.17;
f) as partes e acessórios de uso geral, na acepção da Nota 2 da Seção XV, de metais comuns (Seção XV), e os artefatos semelhantes de plásticos (Capítulo 39);
g) as bombas distribuidoras com dispositivo medidor, da posição 84.13; as básculas e balanças de verificação e contagem de peças usinadas, bem como os pesos para balanças apresentados isoladamente (posição 84.23); os aparelhos de elevação e de movimentação (posições 84.25 a 84.28); as cortadeiras de todos os tipos para o trabalho do papel ou do cartão (posição 84.41); os dispositivos especiais para ajustar a peça a trabalhar ou as ferramentas, nas máquinas-ferramentas, mesmo munidos de dispositivos ópticos de leitura (divisores ópticos, por exemplo), da posição 84.66 (exceto os dispositivos puramente ópticos: lunetas de centragem, de alinhamento, por exemplo); as máquinas de calcular (posição 84.70); as torneiras, válvulas e dispositivos semelhantes (posição 84.81); máquinas e aparelhos da posição 84.86, incluídos os aparelhos para projeção ou execução de traçados de circuitos em superfícies sensibilizadas de materiais semicondutores;
h) os faróis de iluminação dos tipos utilizados em ciclos ou automóveis (posição 85.12); as lanternas elétricas portáteis da posição 85.13; os aparelhos cinematográficos para gravação ou reprodução de som, bem como os aparelhos para reprodução em série de suportes de som (posição 85.19); os fonocaptores (posição 85.22); as câmeras de televisão, as câmeras fotográficas digitais e as câmeras de vídeo (posição 85.25); os aparelhos de radiodetecção e de radiossondagem, os aparelhos de radionavegação e os aparelhos de radiotelecomando (posição 85.26); os conectores para fibras ópticas, feixes ou cabos de fibras ópticas (posição 85.36); os aparelhos de comando numérico da posição 85.37; os artigos denominados "faróis e projetores, em unidades seladas" da posição 85.39; os cabos de fibras ópticas da posição 85.44;
ij) os projetores da posição 94.05;
k) os artigos do Capítulo 95;
l) as medidas de capacidade, que se classificam como obra da matéria constitutiva;
m) as bobinas e suportes semelhantes (classificação consoante a matéria constitutiva: por exemplo, posição 39.23, Seção XV).
 
2.- Ressalvadas as disposições da Nota 1 acima, as partes e acessórios para máquinas, aparelhos, instrumentos ou outros artefatos do presente Capítulo, classificam-se de acordo com as seguintes regras:
a) as partes e acessórios que consistam em artefatos compreendidos em qualquer das posições do presente Capítulo ou dos Capítulos 84, 85 ou 91 (exceto os artefatos das posições 84.87, 85.48 ou 90.33) classificam-se nas respectivas posições, quaisquer que sejam as máquinas, aparelhos ou instrumentos a que se destinem;
b) quando se possam identificar como exclusiva ou principalmente destinadas a uma máquina, instrumento ou aparelho determinados, ou a várias máquinas, instrumentos ou aparelhos, compreendidos numa mesma posição (mesmo nas posições 90.10, 90.13 ou 90.31), as partes e acessórios que não sejam os considerados na alínea a) anterior, classificam-se na posição correspondente a essa ou a essas máquinas, instrumentos ou aparelhos;
c) as outras partes e acessórios classificam-se na posição 90.33.
 
3.- As disposições das Notas 3 e 4 da Seção XVI aplicam-se também ao presente Capítulo.
 
4.- A posição 90.05 não compreende as miras telescópicas para armas, os periscópios para submarinos ou carros de combate, nem as lunetas para máquinas, aparelhos ou instrumentos deste Capítulo ou da Seção XVI (posição 90.13).
 
5.- As máquinas, aparelhos ou instrumentos ópticos de medida ou controle, suscetíveis de se classificarem simultaneamente nas posições 90.13 e 90.31, são classificados nesta última posição.
 
6.- Na acepção da posição 90.21, consideram-se artigos e aparelhos ortopédicos os artigos e aparelhos utilizados:

 - seja para prevenir ou corrigir certas deformidades corporais;
 
 - seja para suster ou manter partes do corpo após uma doença, operação ou lesão.
 
Os artigos e aparelhos ortopédicos compreendem os calçados ortopédicos assim como as solas interiores (palmilhas) especiais, concebidos para corrigir as deformidades ortopédicas do pé, contanto que sejam: 1°) fabricados sob medida ou 2°) fabricados em série, apresentados em unidades e não em pares, e concebidos para adaptar-se indiferentemente a cada pé.
 
7.- A posição 90.32 compreende unicamente:
 
a) os instrumentos e aparelhos para regulação da vazão, do nível, da pressão ou de outras características dos fluidos gasosos ou líquidos, ou para o controle automático de temperaturas, mesmo que o seu modo de operar dependa de um fenômeno elétrico variável com o fator a regular, e que têm por função levar este fator a um valor prescrito e mantê-lo estabilizado neste valor, sem ser influenciado por eventuais perturbações, mediante uma medida contínua ou periódica do seu valor real;
b) os reguladores automáticos de grandezas elétricas, bem como os reguladores automáticos de outras grandezas, cujo modo de operar dependa de um fenômeno elétrico variável com o fator a regular, e que têm por função levar este fator a um valor prescrito e mantê-lo estabilizado neste valor, sem ser influenciado por eventuais perturbações, mediante uma medida contínua ou periódica do seu valor real.
 
Nota complementar.
 
1.- As disposições da Nota Complementar 1 da Seção XVI aplicam-se às máquinas, instrumentos e aparelhos deste Capítulo.

Notas Complementares (NC) da TIPI

NC (90-1) Ficam reduzidas a zero as alíquotas do imposto incidentes sobre os produtos  do Capítulo, fabricados em  conformidade com especificações técnicas e normas de homologação aeronáuticas, quando adquiridos por empresas industriais para emprego na fabricação dos produtos da posição 88.02, ou por estabelecimento homologado pelo Comando da Aeronáutica do Ministério da Defesa, especializado em manutenção, revisão e reparo de produtos aeronáuticos, para emprego nos produtos da referida posição.

NC (90-2) Ficam reduzidas a zero as alíquotas do imposto incidentes sobre aparelhos e instrumentos, bem assim os respectivos acessórios, sobressalentes e ferramentas que os acompanhem, destinados à instalação, ampliação ou modernização de unidades industriais que fabriquem, única e exclusivamente, papel-jornal, com projeto aprovado pela Secretaria de Desenvolvimento da Produção do Ministério do Desenvolvimento, Indústria e Comércio Exterior.

NC (90-3) Ficam reduzidas a zero as alíquotas do imposto incidente sobre as saídas de medidores de vazão e condutivímetros, bem assim de aparelhos para o controle, registro e gravação dos quantitativos medidos, que atendam às especificações fixadas pela Secretaria da Receita Federal, quando adquiridos por estabelecimentos industriais fabricantes dos produtos classificados nas posições 22.02 e 22.03.

NC (90-4) Ficam reduzidas a zero as alíquotas do imposto incidente sobre as saídas de contadores automáticos da quantidade produzida, que atendam às especificações fixadas pela Secretaria da Receita Federal, quando adquiridos por estabelecimentos industriais fabricantes dos produtos classificados no código 2402.20.00.


NCM|DESCRIÇÃO|ALÍQUOTA  (%)
90.01|Fibras ópticas e feixes de fibras ópticas; cabos de fibras ópticas, exceto os da posição 85.44; matérias polarizantes em folhas ou em placas; lentes (incluídas as de contato), prismas, espelhos e outros elementos de óptica, de qualquer matéria, não montados, exceto os de vidro não trabalhado opticamente.|
9001.10|-Fibras ópticas, feixes e cabos de fibras ópticas|
9001.10.1|Fibras ópticas|
9001.10.11|Com diâmetro de núcleo inferior a 11 micrômetros (mícrons)|10
9001.10.19|Outras|10
9001.10.20|Feixes e cabos de fibras ópticas|15
9001.20.00|-Matérias polarizantes, em folhas ou em placas|15
9001.30.00|-Lentes de contato|0
9001.40.00|-Lentes de vidro, para óculos|0
9001.50.00|-Lentes de outras matérias, para óculos|0
9001.90|-Outros|
9001.90.10|Lentes|0
9001.90.90|Outros|15
||
90.02|Lentes, prismas, espelhos e outros elementos de óptica, de qualquer matéria, montados, para instrumentos ou aparelhos, exceto os de vidro não trabalhado opticamente.|
9002.1|-Objetivas:|
9002.11|--Para câmeras (aparelhos de tomada de vistas), para projetores ou para câmeras fotográficas ou cinematográficas, de ampliação ou de redução|
9002.11.10|Para câmeras fotográficas ou cinematográficas ou para projetores|15
|Ex 01 - Para câmeras  cinematográficas|0
9002.11.20|De aproximação ("zoom") para câmeras de televisão, de 20 ou mais aumentos|15
9002.11.90|Outras|15
9002.19.00|--Outras|15
9002.20|-Filtros|
9002.20.10|Polarizantes|15
9002.20.90|Outros|15
9002.90.00|-Outros|15
||
90.03|Armações para óculos ou artigos semelhantes, e suas partes.|
9003.1|-Armações:|
9003.11.00|--De plásticos|5
9003.19|--De outras matérias|
9003.19.10|De metais comuns, mesmo folheados ou chapeados de metais preciosos (plaquê)|5
9003.19.90|Outras|5
9003.90|-Partes|
9003.90.10|Charneiras|5
9003.90.90|Outras|5
||
90.04|Óculos para correção, proteção ou outros fins, e artigos semelhantes.|
9004.10.00|-Óculos de sol|15
9004.90|-Outros|
9004.90.10|Óculos para correção|5
9004.90.20|Óculos de segurança|5
9004.90.90|Outros|5
||
90.05|Binóculos, lunetas, incluídas as astronômicas, telescópios ópticos, e suas armações; outros instrumentos de astronomia e suas armações, exceto os aparelhos de radioastronomia.|
9005.10.00|-Binóculos|15
9005.80.00|-Outros instrumentos|15
9005.90|-Partes e acessórios (incluídas as armações)|
9005.90.10|De binóculos|15
9005.90.90|Outros|15
||
90.06|Câmeras fotográficas; aparelhos e dispositivos, incluídos as lâmpadas e tubos, de luz-relâmpago (“flash”), para fotografia, exceto as lâmpadas e tubos de descarga da posição 85.39.|
9006.10|Câmeras fotográficas dos tipos utilizados para preparação de clichês ou cilindros de impressão|
9006.10.10|Fotocompositoras a “laser” para preparação de clichês|0
9006.10.90|Outras|0
9006.30.00|-Câmeras fotográficas especialmente concebidas para fotografia submarina ou aérea, para exame médico de órgãos internos, para laboratórios de medicina legal ou para investigação judicial|15
9006.40.00|-Câmeras fotográficas para filmes de revelação e copiagem instantâneas|15
9006.5|-Outras câmeras fotográficas:|
9006.51.00|--Com visor de reflexão através da objetiva ("reflex"), para filmes, em rolos, de largura não superior a 35mm|15
9006.52.00|--Outras, para filmes, em rolos, de largura inferior a 35mm|15
9006.53|--Outras, para filmes, em rolos, de 35mm de largura|
9006.53.10|De foco fixo|15
9006.53.20|De foco ajustável|15
9006.59|--Outras|
9006.59.10|De foco fixo|15
9006.59.2|De foco ajustável|
9006.59.21|Para obtenção de negativos de 45mm x 60mm ou de dimensões superiores|15
9006.59.29|Outras|15
9006.6|-Aparelhos e dispositivos, incluídos as lâmpadas e tubos, de luz-relâmpago ("flash") para fotografia:|
9006.61.00|--Aparelhos de tubo de descarga para produção de luz-relâmpago ("flashes" eletrônicos)|15
9006.69.00|--Outros|15
|Ex 01 - Lâmpadas de luz relâmpago ("flash")|10
9006.9|-Partes e acessórios:|
9006.91|--De câmeras fotográficas|
9006.91.10|Corpos|15
9006.91.90|Outros|15
9006.99.00|--Outros|15
||
90.07|Câmeras e projetores, cinematográficos, mesmo com aparelhos de gravação ou de reprodução de som incorporados.|
9007.1|-Câmeras:|
9007.11.00|--Para filmes de largura inferior a 16mm ou para filmes "duplo-8mm"|30
9007.19.00|--Outras|30
|Ex 01 - Para filmes de 16 mm de largura ou de largura não inferior a 35 mm |0
9007.20|-Projetores|
9007.20.10|Para filmes de largura inferior a 16mm|20
9007.20.9|Outros|
9007.20.91|Para filmes de largura superior ou igual a 35mm mas inferior ou igual a 70mm|20
9007.20.99|Outros|20
9007.9|-Partes e acessórios:|
9007.91.00|--De câmeras|20
|Ex 01 - Tripés de câmeras cinematográficas|0
9007.92.00|--De projetores|20
||
90.08|Aparelhos de projeção fixa; câmeras fotográficas, de ampliação ou de redução.|
9008.10.00|-Projetores de diapositivos|20
9008.20|-Leitores de microfilmes, microfichas e de outros microformatos, mesmo permitindo a obtenção de cópias|
9008.20.10|Leitores de microfilmes|20
9008.20.90|Outros|20
9008.30.00|-Outros projetores de imagens fixas|20
9008.40.00|-Câmeras fotográficas, de ampliação ou de redução|20
9008.90.00|-Partes e acessórios|20
||
90.10|Aparelhos e material dos tipos usados nos laboratórios fotográficos ou cinematográficos, não especificados nem compreendidos em outras posições do presente Capítulo; negatoscópios; telas para projeção.|
9010.10|-Aparelhos e material para a revelação automática de filmes fotográficos, de filmes cinematográficos ou de papel fotográfico, em rolos, ou para copiagem automática de filmes revelados em rolos de papel fotográfico|
9010.10.10|Cubas e cubetas, de operação automática e programáveis|20
9010.10.20|Ampliadoras-copiadoras automáticas para papel fotográfico, com capacidade superior a 1.000 cópias por hora|20
9010.10.90|Outros|20
9010.50|-Outros aparelhos e material para laboratórios fotográficos ou cinematográficos; negatoscópios|
9010.50.10|Processadores fotográficos para o tratamento eletrônico de imagens, mesmo com saída digital|20
9010.50.20|Aparelhos para revelação automática de chapas de fotopolímeros com suporte metálico|20
9010.50.90|Outros|20
|Ex 01 - Moviolas|0
9010.60.00|-Telas para projeção|20
9010.90|-Partes e acessórios|
9010.90.10|De aparelhos ou material da subposição 9010.10 ou do item 9010.50.10|20
9010.90.90|Outros|20
||
90.11|Microscópios ópticos, incluídos os microscópios para fotomicrografia, cinefotomicrografia ou microprojeção.|
9011.10.00|-Microscópios estereoscópicos|5
9011.20|-Outros microscópios, para fotomicrografia, cinefotomicrografia ou microprojeção|
9011.20.10|Para fotomicrografia|5
9011.20.20|Para cinefotomicrografia|5
9011.20.30|Para microprojeção|5
9011.80|-Outros microscópios|
9011.80.10|Binoculares de platina móvel|5
9011.80.90|Outros|5
9011.90|-Partes e acessórios|
9011.90.10|Dos artigos da subposição 9011.20|5
9011.90.90|Outros|5
||
90.12|Microscópios, exceto ópticos; difratógrafos.|
9012.10|-Microscópios, exceto ópticos; difratógrafos|
9012.10.10|Microscópios eletrônicos|0
9012.10.90|Outros|0
9012.90|-Partes e acessórios|
9012.90.10|De microscópios eletrônicos|5
9012.90.90|Outros|5
||
90.13|Dispositivos de cristais líquidos que não constituam artigos compreendidos mais especificamente em outras posições; “lasers”, exceto diodos “laser”; outros aparelhos e instrumentos de óptica, não especificados nem compreendidos em outras posições do presente Capítulo.|
