SEÇÃO XIX
ARMAS, MUNIÇÕES, SUAS PARTES E ACESSÓRIOS
Capítulo 93
Armas e munições; suas partes e acessórios
Notas.

1.- O presente Capítulo não compreende:

a) os fulminantes e cápsulas fulminantes, os detonadores, os foguetes de iluminação ou contra o granizo e outros artigos do Capítulo 36;
b) as partes e acessórios de uso geral, na acepção da Nota 2 da Seção XV, de metais comuns (Seção XV), e os artefatos semelhantes de plásticos (Capítulo 39);
c) os carros de combate e automóveis blindados (posição 87.10);
d) as miras telescópicas e outros dispositivos ópticos, salvo quando montados nas armas ou, quando não montados, que se apresentem com as armas a que se destinem (Capítulo 90);
e) as bestas, arcos e flechas para tiro, as armas embotadas para esgrima e as armas com características de brinquedos (Capítulo 95);
f) as armas e munições com características de objetos de coleção ou de antigüidades (posições 97.05 ou 97.06).

2.- Na acepção da posição 93.06, o termo partes não compreende os aparelhos de rádio ou de radar, da posição 85.26.


NCM|DESCRIÇÃO|ALÍQUOTA (%)
93.01|Armas de guerra, exceto revólveres, pistolas e armas brancas.|
9301.1|-Peças de artilharia (por exemplo, canhões, obuses e morteiros):|
9301.11.00|--Autopropulsadas|0
9301.19.00|--Outras|0
9301.20.00|-Lança foguetes; lança-chamas; lança-granadas; tubos lança-torpedos e lançadores similares|0
9301.90.00|-Outras|0
 | |
9302.00.00|Revólveres e pistolas, exceto os das posições 93.03 ou 93.04.|45
 | |
93.03|Outras armas de fogo e aparelhos semelhantes que utilizem a deflagração da pólvora (por exemplo, espingardas e carabinas, de caça, armas de fogo carregáveis exclusivamente pela boca, pistolas lança-foguetes e outros aparelhos concebidos apenas para lançar foguetes de sinalização, pistolas e revólveres para tiro de festim, pistolas de êmbolo cativo para abater animais, canhões lança-amarras).|
9303.10.00|-Armas de fogo carregáveis exclusivamente pela boca|45
9303.20.00|-Outras espingardas e carabinas, de caça ou de tiro-ao-alvo, com pelo menos um cano liso|45
9303.30.00|-Outras espingardas e carabinas, de caça ou de tiro-ao-alvo|45
9303.90.00|-Outros|45
 |Ex 01 - Pistolas de sinalização|30
 | |
9304.00.00|Outras armas (por exemplo, espingardas, carabinas e pistolas, de mola, de ar comprimido ou de gás, cassetetes), exceto as da posição 93.07.|45
 | |
93.05|Partes e acessórios dos artigos das posições 93.01 a 93.04.|
9305.10.00|-De revólveres ou pistolas|45
9305.2|-De espingardas ou carabinas da posição 93.03:|
9305.21.00|--Canos lisos|45
9305.29.00|--Outros|45
9305.9|-Outros:|
9305.91.00|--De armas de guerra da posição 93.01|0
9305.99.00|--Outros|45
 | |
93.06|Bombas, granadas, torpedos, minas, mísseis, cartuchos e outras munições e projéteis, e suas partes, incluídos os zagalotes, chumbos de caça e buchas para cartuchos.|
9306.2|-Cartuchos e suas partes, para espingardas ou carabinas de cano liso; chumbos para carabinas de ar comprimido:|
9306.21.00|--Cartuchos|20
9306.29.00|--Outros|45
 |Ex 01 - Partes de cartuchos|20
9306.30.00|-Outros cartuchos e suas partes|20
 |Ex 01 - Cartuchos sem projétil ou carga de chumbo, para uso técnico, e suas partes|10
 |Ex 02 - Para pistolas de rebitar ou de usos semelhantes ou para pistolas de êmbolo cativo para abate de animais|10
9306.90.00|-Outros|45
 | |
9307.00.00|Sabres, espadas, baionetas, lanças e outras armas brancas, suas partes e bainhas.|45

